brind,startT,endT,commTime,commStart,commEnd
1110,2008-04-08 12:20:04,2008-04-08 12:27:03,,,
1110,,,2008-04-08 12:20:04,,
1110,2008-04-08 12:27:03,2008-04-08 13:39:09,,,
1110,,,2008-04-08 12:27:03,,
1110,,,,2008-04-08 12:59:06,2008-04-08 13:04:24
1110,,,2008-04-08 13:37:04,,
1110,,,2008-04-08 13:39:09,,
1020,2008-04-08 12:35:51,2008-04-08 12:43:39,,,
1020,,,2008-04-08 12:35:51,,
1020,2008-04-08 12:43:39,2008-04-08 14:15:21,,,
1020,,,2008-04-08 12:43:39,,
1020,,,,2008-04-08 13:19:30,2008-04-08 13:22:42
1020,,,2008-04-08 13:52:19,,
1020,,,2008-04-08 14:15:21,,
1133,2008-04-08 12:46:10,2008-04-08 12:50:02,,,
1133,,,2008-04-08 12:46:10,,
1133,2008-04-08 12:50:02,2008-04-08 13:59:49,,,
1133,,,2008-04-08 12:50:02,,
1133,,,,2008-04-08 13:24:01,2008-04-08 13:24:07
1133,,,,2008-04-08 13:58:53,2008-04-08 13:59:49
1139,2008-04-08 12:51:27,2008-04-08 12:58:04,,,
1139,,,2008-04-08 12:51:27,,
1139,2008-04-08 12:58:04,2008-04-08 13:45:36,,,
1139,,,2008-04-08 12:58:04,,
1139,,,,2008-04-08 13:18:38,2008-04-08 13:18:54
1139,,,,2008-04-08 13:45:33,2008-04-08 13:45:36
1033,2008-04-08 12:56:57,2008-04-08 13:03:32,,,
1033,,,2008-04-08 12:56:57,,
1033,,,2008-04-08 13:03:32,,
1140,2008-04-08 13:05:03,2008-04-08 13:12:43,,,
1140,,,2008-04-08 13:05:03,,
1140,2008-04-08 13:12:43,2008-04-08 15:01:08,,,
1140,,,2008-04-08 13:12:43,,
1140,,,2008-04-08 14:09:29,,
1140,,,2008-04-08 14:17:49,,
1140,,,,2008-04-08 14:59:54,2008-04-08 15:01:08
1221,2008-04-08 13:12:29,2008-04-08 13:24:14,,,
1221,,,2008-04-08 13:12:29,,
1221,2008-04-08 13:24:14,2008-04-08 14:02:35,,,
1221,,,2008-04-08 13:24:14,,
1221,,,,2008-04-08 13:37:07,2008-04-08 13:40:06
1221,,,,2008-04-08 14:01:32,2008-04-08 14:02:35
1158,2008-04-08 13:24:57,2008-04-08 13:36:14,,,
1158,,,2008-04-08 13:24:57,,
1158,,,2008-04-08 13:36:14,,
1214,2008-04-08 13:25:18,2008-04-08 13:36:18,,,
1214,,,2008-04-08 13:25:18,,
1214,2008-04-08 13:36:18,2008-04-08 14:14:18,,,
1214,,,2008-04-08 13:36:18,,
1214,,,,2008-04-08 13:49:24,2008-04-08 13:50:34
1214,,,2008-04-08 14:00:33,,
1214,,,2008-04-08 14:14:18,,
1222,2008-04-08 13:35:02,2008-04-08 13:40:20,,,
1222,,,2008-04-08 13:35:02,,
1222,2008-04-08 13:40:20,2008-04-08 14:55:33,,,
1222,,,2008-04-08 13:40:20,,
1222,,,2008-04-08 14:02:54,,
1222,,,2008-04-08 14:03:39,,
1222,,,,2008-04-08 14:52:55,2008-04-08 14:55:33
1230,2008-04-08 13:37:30,2008-04-08 13:48:58,,,
1230,,,2008-04-08 13:37:30,,
1230,2008-04-08 13:48:58,2008-04-08 14:29:11,,,
1230,,,2008-04-08 13:48:58,,
1230,,,,2008-04-08 14:22:59,2008-04-08 14:23:59
1230,,,,2008-04-08 14:29:08,2008-04-08 14:29:11
1038,2008-04-08 13:44:03,2008-04-08 13:55:48,,,
