brind,startT,endT,stayDuration,commDuration
1114,2008-04-08 12:50:00.990,2008-04-08 12:52:04.020,,00:02:03.030000
1114,2008-04-08 12:54:03.000,2008-04-08 12:54:09.960,,00:00:06.960000
1114,2008-04-08 13:12:14.970,2008-04-08 13:12:25.980,,00:00:11.010000
1114,2008-04-08 14:03:23.010,2008-04-08 14:08:33.990,,00:05:10.980000
1114,2008-04-08 14:08:57.000,2008-04-08 14:12:25.980,,00:03:28.980000
1044,2008-04-08 14:38:36.990,2008-04-08 15:49:47.910,01:11:10.920000,
1044,2008-04-08 14:52:06.000,2008-04-08 14:52:30.990,,00:00:24.990000
1044,2008-04-08 15:12:11.970,2008-04-08 15:13:21.990,,00:01:10.020000
1044,2008-04-08 15:18:21.990,2008-04-08 15:19:50.970,,00:01:28.980000
1044,2008-04-08 15:47:26.010,2008-04-08 15:49:44.010,,00:02:18
1078,2008-04-08 08:22:12.990,2008-04-08 09:17:25.860,00:55:12.870000,
1078,2008-04-08 08:25:00.990,2008-04-08 08:25:05.010,,00:00:04.020000
1078,2008-04-08 08:29:18.000,2008-04-08 08:29:29.430,,00:00:11.430000
1078,2008-04-08 08:41:01.980,2008-04-08 08:41:55.980,,00:00:54
1078,2008-04-08 09:02:34.980,2008-04-08 09:04:29.010,,00:01:54.030000
1078,2008-04-08 09:16:33.990,2008-04-08 09:16:57.990,,00:00:24
1078,2008-04-08 09:17:26.970,2008-04-08 09:17:52.020,,00:00:25.050000
1196,2008-04-08 10:12:12.960,2008-04-08 11:53:49.410,01:41:36.450000,
1196,2008-04-08 10:11:24.990,2008-04-08 10:11:58.980,,00:00:33.990000
1196,2008-04-08 10:43:28.980,2008-04-08 10:45:15.990,,00:01:47.010000
1196,2008-04-08 10:55:42.990,2008-04-08 10:57:48.000,,00:02:05.010000
1196,2008-04-08 11:00:00.000,2008-04-08 11:00:09.000,,00:00:09
1196,2008-04-08 11:11:51.990,2008-04-08 11:12:24.990,,00:00:33
1196,2008-04-08 11:52:15.990,2008-04-08 11:53:43.980,,00:01:27.990000
1063,2008-04-08 11:54:26.010,2008-04-08 13:36:22.200,01:41:56.190000,
1063,2008-04-08 12:32:30.000,2008-04-08 12:34:21.990,,00:01:51.990000
1063,2008-04-08 12:49:33.990,2008-04-08 12:49:56.970,,00:00:22.980000
1063,2008-04-08 13:34:35.970,2008-04-08 13:35:32.970,,00:00:57
1063,2008-04-08 13:35:45.990,2008-04-08 13:35:49.980,,00:00:03.990000
1222,2008-04-08 13:35:42.990,2008-04-08 13:40:03.390,00:04:20.400000,
1222,2008-04-08 13:34:23.970,2008-04-08 13:34:35.970,,00:00:12
1222,2008-04-08 13:39:40.980,2008-04-08 13:39:50.970,,00:00:09.990000
1222,2008-04-08 13:40:58.980,2008-04-08 14:55:39.000,01:14:40.020000,
1222,2008-04-08 14:02:11.010,2008-04-08 14:03:15.990,,00:01:04.980000
1222,2008-04-08 14:05:51.000,2008-04-08 14:06:11.970,,00:00:20.970000
1222,2008-04-08 14:51:01.980,2008-04-08 14:51:05.010,,00:00:03.030000
1222,2008-04-08 14:52:01.980,2008-04-08 14:52:06.000,,00:00:04.020000
1222,2008-04-08 14:52:15.990,2008-04-08 14:55:11.970,,00:02:55.980000
1080,2008-04-08 08:23:43.980,2008-04-08 09:46:37.980,01:22:54,
1080,2008-04-08 08:25:16.980,2008-04-08 08:25:29.940,,00:00:12.960000
1080,2008-04-08 08:55:40.980,2008-04-08 08:55:49.980,,00:00:09
1080,2008-04-08 09:08:24.960,2008-04-08 09:17:26.970,,00:09:02.010000
1080,2008-04-08 09:43:42.000,2008-04-08 09:46:24.960,,00:02:42.960000
